User_ID,Age,Gender,Occupation,Game_Type,Daily_Gaming_Hours,Weekly_Gaming_Hours,Primary_Gaming_Time,Sleep_Hours,Stress_Level,Focus_Level,Academic_or_Work_Score,Productivity_Level,Performance_Impact,Gaming_Intensity,Sleep_Quality,Overall_Performance,Age_Group,High_Stress,Performance_Category
U0001,21,Male,Working Professional,Action,4.0,28.0,Morning,4.6,6,4,69,66,Negative,Moderate (2-4h),Poor (<5h),67.5,18-22,False,Medium
U0002,35,Female,Student,Sports,1.0,7.0,Night,5.4,2,7,67,72,Neutral,Light (0-2h),Adequate (5-7h),69.5,33+,False,Medium
U0003,26,Male,Student,Puzzle,2.0,14.0,Morning,8.0,4,8,82,82,Positive,Light (0-2h),Good (7h+),82.0,23-27,False,High
U0004,32,Male,Working Professional,Action,1.0,7.0,Night,4.9,7,7,71,66,Neutral,Light (0-2h),Poor (<5h),68.5,28-32,True,Medium
U0005,19,Male,Working Professional,Action,2.1,14.7,Morning,7.0,7,7,67,63,Neutral,Moderate (2-4h),Adequate (5-7h),65.0,18-22,True,Medium
U0006,29,Female,Student,Casual,5.3,37.1,Evening,6.0,9,8,78,75,Neutral,Heavy (4-6h),Adequate (5-7h),76.5,28-32,True,High
U0007,35,Male,Student,Sports,4.4,30.8,Evening,7.2,3,7,95,92,Neutral,Heavy (4-6h),Good (7h+),93.5,33+,False,Excellent
U0008,25,Male,Working Professional,Sports,2.0,14.0,Evening,8.2,5,8,75,70,Positive,Light (0-2h),Good (7h+),72.5,23-27,False,Medium
U0009,32,Male,Working Professional,Strategy,0.9,6.3,Morning,8.2,7,4,86,87,Positive,Light (0-2h),Good (7h+),86.5,28-32,True,High
U0010,25,Male,Working Professional,Action,4.6,32.2,Morning,6.7,8,7,80,80,Neutral,Heavy (4-6h),Adequate (5-7h),80.0,23-27,True,High
U0011,20,Female,Working Professional,Simulation,5.2,36.4,Evening,5.1,4,9,82,86,Negative,Heavy (4-6h),Adequate (5-7h),84.0,18-22,False,High
U0012,35,Female,Working Professional,Action,3.4,23.8,Evening,8.4,2,8,62,67,Neutral,Moderate (2-4h),Good (7h+),64.5,33+,False,Medium
U0013,21,Female,Student,Strategy,2.9,20.3,Evening,6.3,6,7,66,69,Neutral,Moderate (2-4h),Adequate (5-7h),67.5,18-22,False,Medium
U0014,18,Male,Working Professional,Puzzle,4.7,32.9,Morning,6.7,2,7,75,77,Neutral,Heavy (4-6h),Adequate (5-7h),76.0,18-22,False,High
U0015,35,Male,Student,Casual,0.8,5.6,Evening,8.0,3,3,86,82,Positive,Light (0-2h),Good (7h+),84.0,33+,False,High
U0016,27,Female,Working Professional,Sports,5.7,39.9,Night,5.2,8,4,89,87,Negative,Heavy (4-6h),Adequate (5-7h),88.0,23-27,True,High
U0017,35,Male,Student,Action,3.0,21.0,Morning,5.5,3,5,56,60,Neutral,Moderate (2-4h),Adequate (5-7h),58.0,33+,False,Low
U0018,34,Male,Working Professional,Casual,4.4,30.8,Evening,4.7,3,3,76,72,Negative,Heavy (4-6h),Poor (<5h),74.0,33+,False,Medium
U0019,24,Male,Student,Casual,1.7,11.9,Evening,5.0,9,4,85,86,Neutral,Light (0-2h),Poor (<5h),85.5,23-27,True,High
U0020,30,Female,Student,Strategy,2.4,16.8,Morning,6.1,2,8,61,56,Neutral,Moderate (2-4h),Adequate (5-7h),58.5,28-32,False,Low
U0021,25,Male,Working Professional,Simulation,1.5,10.5,Morning,6.3,8,4,72,74,Neutral,Light (0-2h),Adequate (5-7h),73.0,23-27,True,Medium
U0022,31,Female,Working Professional,Strategy,0.8,5.6,Evening,8.5,2,3,70,67,Positive,Light (0-2h),Good (7h+),68.5,28-32,False,Medium
U0023,27,Female,Working Professional,Strategy,5.5,38.5,Morning,5.2,2,6,71,73,Negative,Heavy (4-6h),Adequate (5-7h),72.0,23-27,False,Medium
U0024,19,Female,Student,Action,2.1,14.7,Night,8.4,2,8,75,70,Neutral,Moderate (2-4h),Good (7h+),72.5,18-22,False,Medium
U0025,21,Male,Student,Simulation,0.9,6.3,Morning,5.2,3,8,70,71,Neutral,Light (0-2h),Adequate (5-7h),70.5,18-22,False,Medium
U0026,28,Male,Working Professional,Sports,2.8,19.6,Morning,6.8,7,5,68,73,Neutral,Moderate (2-4h),Adequate (5-7h),70.5,28-32,True,Medium
U0027,32,Male,Student,Simulation,4.2,29.4,Morning,5.7,7,9,59,54,Negative,Heavy (4-6h),Adequate (5-7h),56.5,28-32,True,Low
U0028,27,Male,Working Professional,Simulation,3.3,23.1,Night,5.0,7,3,70,70,Neutral,Moderate (2-4h),Poor (<5h),70.0,23-27,True,Medium
U0029,21,Male,Working Professional,Action,2.2,15.4,Morning,8.4,2,8,90,89,Neutral,Moderate (2-4h),Good (7h+),89.5,18-22,False,High
U0030,24,Female,Working Professional,Puzzle,4.6,32.2,Morning,5.1,6,7,68,68,Negative,Heavy (4-6h),Adequate (5-7h),68.0,23-27,False,Medium
U0031,22,Female,Student,Casual,1.0,7.0,Evening,6.2,6,3,55,55,Neutral,Light (0-2h),Adequate (5-7h),55.0,18-22,False,Low
U0032,35,Male,Working Professional,Simulation,3.5,24.5,Night,6.2,2,3,59,56,Neutral,Moderate (2-4h),Adequate (5-7h),57.5,33+,False,Low
U0033,24,Male,Student,Puzzle,1.3,9.1,Night,5.0,6,5,57,57,Neutral,Light (0-2h),Poor (<5h),57.0,23-27,False,Low
U0034,31,Male,Student,Casual,5.4,37.8,Evening,6.1,4,4,65,62,Neutral,Heavy (4-6h),Adequate (5-7h),63.5,28-32,False,Medium
U0035,30,Male,Working Professional,Strategy,4.8,33.6,Morning,6.1,5,5,65,61,Neutral,Heavy (4-6h),Adequate (5-7h),63.0,28-32,False,Medium
U0036,18,Male,Working Professional,Puzzle,5.0,35.0,Evening,6.3,6,9,69,67,Neutral,Heavy (4-6h),Adequate (5-7h),68.0,18-22,False,Medium
U0037,35,Female,Student,Action,5.3,37.1,Evening,8.4,6,5,87,88,Neutral,Heavy (4-6h),Good (7h+),87.5,33+,False,High
U0038,31,Female,Working Professional,Sports,1.5,10.5,Night,8.4,6,3,61,65,Positive,Light (0-2h),Good (7h+),63.0,28-32,False,Medium
U0039,18,Male,Working Professional,Sports,5.9,41.3,Morning,5.0,5,5,57,58,Negative,Heavy (4-6h),Poor (<5h),57.5,18-22,False,Low
U0040,34,Female,Working Professional,Puzzle,5.7,39.9,Evening,8.2,7,8,62,61,Neutral,Heavy (4-6h),Good (7h+),61.5,33+,True,Medium
U0041,23,Female,Working Professional,Simulation,4.3,30.1,Morning,6.7,5,6,79,84,Neutral,Heavy (4-6h),Adequate (5-7h),81.5,23-27,False,High
U0042,24,Female,Student,Casual,2.2,15.4,Morning,5.3,7,6,83,85,Neutral,Moderate (2-4h),Adequate (5-7h),84.0,23-27,True,High
U0043,27,Male,Student,Strategy,2.1,14.7,Morning,7.2,7,3,70,75,Neutral,Moderate (2-4h),Good (7h+),72.5,23-27,True,Medium
U0044,24,Female,Working Professional,Sports,0.8,5.6,Morning,8.4,3,6,81,86,Positive,Light (0-2h),Good (7h+),83.5,23-27,False,High
U0045,23,Female,Student,Simulation,1.3,9.1,Morning,7.3,3,9,82,80,Positive,Light (0-2h),Good (7h+),81.0,23-27,False,High
U0046,34,Female,Working Professional,Simulation,5.5,38.5,Night,5.0,4,9,84,89,Negative,Heavy (4-6h),Poor (<5h),86.5,33+,False,High
U0047,26,Male,Working Professional,Simulation,5.4,37.8,Evening,6.2,9,4,85,87,Neutral,Heavy (4-6h),Adequate (5-7h),86.0,23-27,True,High
U0048,26,Female,Working Professional,Simulation,3.9,27.3,Morning,5.6,3,8,73,71,Neutral,Moderate (2-4h),Adequate (5-7h),72.0,23-27,False,Medium
U0049,31,Female,Working Professional,Simulation,1.3,9.1,Evening,5.4,4,8,68,64,Neutral,Light (0-2h),Adequate (5-7h),66.0,28-32,False,Medium
U0050,30,Female,Student,Puzzle,2.8,19.6,Evening,5.3,8,6,92,87,Neutral,Moderate (2-4h),Adequate (5-7h),89.5,28-32,True,High
U0051,25,Female,Student,Puzzle,4.6,32.2,Evening,7.9,8,7,89,93,Neutral,Heavy (4-6h),Good (7h+),91.0,23-27,True,Excellent
U0052,22,Male,Working Professional,Simulation,3.2,22.4,Night,6.1,8,8,65,67,Neutral,Moderate (2-4h),Adequate (5-7h),66.0,18-22,True,Medium
U0053,19,Female,Working Professional,Puzzle,4.1,28.7,Morning,4.8,8,4,84,81,Negative,Heavy (4-6h),Poor (<5h),82.5,18-22,True,High
U0054,20,Female,Student,Casual,3.0,21.0,Night,5.9,8,5,81,80,Neutral,Moderate (2-4h),Adequate (5-7h),80.5,18-22,True,High
U0055,19,Male,Student,Strategy,0.8,5.6,Morning,8.3,5,8,59,64,Positive,Light (0-2h),Good (7h+),61.5,18-22,False,Medium
U0056,24,Female,Working Professional,Puzzle,3.9,27.3,Morning,5.5,9,8,62,66,Neutral,Moderate (2-4h),Adequate (5-7h),64.0,23-27,True,Medium
U0057,21,Male,Working Professional,Simulation,3.8,26.6,Night,8.4,3,9,65,64,Neutral,Moderate (2-4h),Good (7h+),64.5,18-22,False,Medium
U0058,25,Male,Working Professional,Casual,5.5,38.5,Night,6.0,5,3,92,97,Neutral,Heavy (4-6h),Adequate (5-7h),94.5,23-27,False,Excellent
U0059,29,Male,Working Professional,Action,4.9,34.3,Evening,7.7,2,5,89,90,Neutral,Heavy (4-6h),Good (7h+),89.5,28-32,False,High
U0060,31,Male,Working Professional,Simulation,5.0,35.0,Night,4.9,7,8,84,81,Negative,Heavy (4-6h),Poor (<5h),82.5,28-32,True,High
U0061,26,Female,Student,Sports,4.8,33.6,Night,6.4,6,5,70,66,Neutral,Heavy (4-6h),Adequate (5-7h),68.0,23-27,False,Medium
U0062,33,Male,Working Professional,Puzzle,3.9,27.3,Evening,6.0,2,6,75,72,Neutral,Moderate (2-4h),Adequate (5-7h),73.5,33+,False,Medium
U0063,24,Male,Student,Casual,2.0,14.0,Evening,6.9,6,7,55,58,Neutral,Light (0-2h),Adequate (5-7h),56.5,23-27,False,Low
U0064,18,Male,Working Professional,Strategy,3.2,22.4,Evening,7.5,9,8,86,88,Neutral,Moderate (2-4h),Good (7h+),87.0,18-22,True,High
U0065,29,Female,Working Professional,Puzzle,4.3,30.1,Night,5.7,7,6,90,93,Negative,Heavy (4-6h),Adequate (5-7h),91.5,28-32,True,Excellent
U0066,21,Male,Student,Strategy,3.0,21.0,Night,5.7,5,3,67,67,Neutral,Moderate (2-4h),Adequate (5-7h),67.0,18-22,False,Medium
U0067,25,Female,Student,Puzzle,3.2,22.4,Morning,7.4,6,3,67,66,Neutral,Moderate (2-4h),Good (7h+),66.5,23-27,False,Medium
U0068,22,Female,Student,Action,4.4,30.8,Night,5.0,2,3,90,89,Negative,Heavy (4-6h),Poor (<5h),89.5,18-22,False,High
U0069,33,Male,Student,Sports,2.1,14.7,Evening,6.4,7,4,58,57,Neutral,Moderate (2-4h),Adequate (5-7h),57.5,33+,True,Low
U0070,27,Male,Student,Action,0.9,6.3,Night,7.0,2,4,64,68,Positive,Light (0-2h),Adequate (5-7h),66.0,23-27,False,Medium
U0071,32,Female,Working Professional,Simulation,4.7,32.9,Evening,6.9,5,9,88,89,Neutral,Heavy (4-6h),Adequate (5-7h),88.5,28-32,False,High
U0072,24,Female,Student,Strategy,2.2,15.4,Morning,7.0,3,9,68,73,Neutral,Moderate (2-4h),Adequate (5-7h),70.5,23-27,False,Medium
U0073,33,Female,Student,Strategy,1.5,10.5,Evening,4.8,2,6,83,87,Neutral,Light (0-2h),Poor (<5h),85.0,33+,False,High
U0074,24,Female,Student,Simulation,4.4,30.8,Morning,7.3,9,3,69,68,Neutral,Heavy (4-6h),Good (7h+),68.5,23-27,True,Medium
U0075,27,Female,Working Professional,Action,4.1,28.7,Evening,8.1,4,3,58,55,Neutral,Heavy (4-6h),Good (7h+),56.5,23-27,False,Low
U0076,32,Male,Student,Sports,4.3,30.1,Night,7.3,6,7,89,91,Neutral,Heavy (4-6h),Good (7h+),90.0,28-32,False,High
